Country,BetwCentr,DegreeCentr,ArmsTransS,ArmsTransR,MassProtest,ProtesterViolence,Terror,GlobalTerror,HViolentConflP,NaturalDisast,Regime,GovEffectiv,PSViolenceTerror,RegulatoryQ,RuleLaw
Austria,13.288,55,30,6,1,0,1.034,0,0,0.2,4,1.578917,1.364101,1.490679,1.84264
Belgium,15.713,54,55,46,1,1,0.683,0,0,0,4,1.709993,0.9400827,1.291454,1.464392
Brazil,0,19,31,223,23,1,0.509,0,4.8,201.51,3,-0.0930665,-0.2585533,0.0734235,-0.0802455
Bulgaria,5.584,37,21,0,5,1,3.667,0,0,0,3,0.0733867,0.1707104,0.5389014,-0.1302277
Canada,9.903,37,183,202,0,0,0.407,0,0,100,4,1.788949,1.061422,1.739304,1.755872
China,0,19,2056,1296,6,1,5.792,60,7.3,19364.255,1,0.0034887,-0.5437899,-0.2879804,-0.5246463
Croatia,1.595,28,0,0,2,0,1.522,0,0,0,3,0.7031556,0.6426679,0.4630746,0.2774972
Cyprus,2.426,23,0,0,14,1,0.509,0,0,0,4,1.366752,0.5633472,0.9171373,1.036493
Czechia,10.606,47,40,15,0,0,0,1,0,1300,4,0.9262398,1.084779,1.085486,1.030306
Denmark,22.043,51,11,38,0,0,0.509,0,0,0,4,1.951923,0.9592335,1.80997,1.911077
Estonia,6.169,32,0,18,2,0,1.322,0,0,0,4,0.9748209,0.7482154,1.447542,1.198388
Finland,24.226,55,70,296,0,0,0,0,0,0,4,2.190214,1.385172,1.851513,1.964584
France,22.547,55,1769,107,16,1,3.816,0,0,2,4,1.489328,0.4487441,1.157089,1.409796
Germany,9.615,55,796,113,5,0,2.645,0,0,6.35,4,1.517793,0.9279839,1.553044,1.650206
Greece,14.746,43,0,28,19,1,4.13,4,0,0,4,0.3606999,-0.1713417,0.6334165,0.4721287
Hong.Kong.China,3.687,30,0,0,4,0,0,0,0,0,1,0.9228683,0.9228683,1.929717,1.573712
Hungary,10.304,48,41,2,3,0,0.158,0,0,2.3,3,0.6926903,0.7966461,0.9061847,0.588275
India,0,21,15,5382,9,1,7.699,467,8.8,2059.35,3,-0.1717331,-1.229174,-0.4706369,-0.0573845
Ireland,10.74,40,27,0,27,0,1.912,0,0,0,4,1.511372,0.9010757,1.582879,1.717427
Italy,16.666,54,873,83,3,0,2.661,0,0,0,4,0.5366704,0.4954992,0.7847136,0.4412664
Japan,0,19,0,252,3,0,0,0,0,65.159,4,1.618248,1.019142,1.115993,1.44361
Latvia,2.583,26,0,5,0,0,0,0,0,0,3,0.8890542,0.5936353,1.043866,0.7677668
Lithuania,1.511,24,0,73,1,0,0,0,0,0,4,0.8317525,0.9645323,1.154193,0.8359193
Luxembourg,0,19,0,0,0,0,0,0,0,0,4,1.630086,1.335248,1.780547,1.816194
Malta,0,18,0,0,0,0,0,0,0,0,3,1.257979,1.042758,1.298451,1.332989
Netherlands,0,19,388,451,0,0,0,0,0,0,4,1.817068,1.143815,1.770449,1.833919
Poland,10.939,55,142,145,3,0,0,0,0,0,4,0.662097,0.973355,1.04645,0.7996315
Portugal,4.158,31,0,12,2,0,0,0,0,0,4,1.200499,0.7487634,0.8041509,1.045058
Romania,16.919,53,216,20,8,0,0,0,1.3,0.559,3,0.0991476,0.1791331,0.6117656,0.1670062
Russia,62.115,55,7926,183,8,0,7.369,148,9.7,9,2,-0.3550871,-0.7360936,-0.3516815,-0.7842402
Serbia,0.053,17,11,0,0,0,1.95,0,0,0,2,-0.0869015,-0.0756381,-0.0611573,-0.3261667
Slovakia,6.978,39,1,5,0,0,0.509,0,0,0,3,0.7300131,1.119518,0.9341252,0.4685842
Slovenia,8.572,38,0,0,6,0,0,0,0,0,4,1.013216,0.8822517,0.6301469,1.000704
Spain,0,19,439,155,5,1,2.39,0,0,0.6,4,1.173923,0.0120178,0.9390443,1.031751
Sweden,18.034,55,386,56,1,1,0.951,0,0,0,4,1.797162,1.127778,1.905513,1.959462
Switzerland,15.51,49,194,6,0,0,1.06,0,0,0.084,4,1.824802,1.40114,1.628784,1.804588
United.Kingdom,0,19,1608,505,20,1,4.596,4,0,0,4,1.51958,0.4862014,1.77062,1.697654
United.States,27.769,54,7504,791,0,0,5.075,23,3.6,179.24,4,1.523828,0.6430726,1.268006,1.557142
